id,title,description,cost,picture,google ratings,user ratings,hotness,group size,outdoor rating,indoor rating,photogenic,season,kid rating,adult rating,family rating,friend rating,crowd rating,category,alcohol
156,Wiegand-Kshlerin,Organic demand-driven installation,,http://dummyimage.com/125x100.png/cc0000/ffffff,4.7,4.83,2.52,,,,3.36,summer,4.49,3.01,,,1.22,capacity,true
157,"O'Kon, Parker and Raynor",Ergonomic bandwidth-monitored flexibility,free,http://dummyimage.com/127x100.png/dddddd/000000,3.04,2.71,2.39,3,,2.27,1.91,fall,,,4.62,,4.81,Realigned,
158,Doyle-Emmerich,Mandatory global approach,$$,http://dummyimage.com/131x100.png/ff4444/ffffff,2.29,,1.64,2,2.56,4.01,1.25,fall,1.41,,2.82,3.86,,radical,true
159,"Cole, Abshire and Moen",Total heuristic open architecture,$$$,http://dummyimage.com/225x100.png/ff4444/ffffff,1.99,2.24,4.34,7,,1.62,4.47,fall,4.62,2.24,3.5,4.32,3.57,encoding,false
160,Robel-Prosacco,Quality-focused fresh-thinking paradigm,$$,http://dummyimage.com/246x100.png/dddddd/000000,2.65,,3.87,,,4.13,4.56,summer,4.0,2.13,1.89,1.74,2.18,Enhanced,
161,Walker and Sons,Persevering bifurcated protocol,$,http://dummyimage.com/210x100.png/5fa2dd/ffffff,4.04,4.72,4.12,5,3.64,,,winter,,,,,,groupware,
162,Lesch-Greenfelder,Managed asynchronous circuit,$$,http://dummyimage.com/219x100.png/ff4444/ffffff,2.55,3.31,,6,,3.74,,fall,4.52,,4.18,3.47,1.29,,false
163,Lang-Prohaska,Synergistic global benchmark,,http://dummyimage.com/229x100.png/cc0000/ffffff,3.35,1.51,1.39,3,3.27,1.22,,winter,,,1.31,1.69,,responsive,
164,Johnston-Tillman,Cloned interactive utilisation,,http://dummyimage.com/196x100.png/cc0000/ffffff,1.34,2.89,4.14,1,3.86,1.02,2.65,,,,1.58,,,asymmetric,
165,"Jacobs, Terry and Armstrong",De-engineered asymmetric intranet,free,http://dummyimage.com/168x100.png/ff4444/ffffff,1.58,,,,,,1.02,,3.33,1.06,1.74,,,application,false
166,Torphy-Ortiz,Secured clear-thinking alliance,$$,http://dummyimage.com/190x100.png/cc0000/ffffff,2.68,1.46,,6,1.55,4.8,3.9,spring,1.6,,,1.72,,Open-source,
167,Hills-Leuschke,Secured scalable toolset,$$,http://dummyimage.com/212x100.png/ff4444/ffffff,1.46,4.25,,,1.12,3.5,2.62,summer,2.51,,4.81,,,frame,
168,"Parisian, Quigley and Collier",Managed web-enabled leverage,free,http://dummyimage.com/167x100.png/cc0000/ffffff,4.34,1.35,2.75,4,1.36,2.34,1.17,,,1.95,,2.07,2.35,Profound,
169,Torphy and Sons,Synchronised multi-state model,$$,,4.42,2.31,,,4.34,3.38,2.34,summer,,1.47,,1.15,1.38,Team-oriented,
170,"Koss, Tromp and Brakus",Synergistic directional portal,$,http://dummyimage.com/178x100.png/dddddd/000000,2.75,1.19,,5,,3.99,1.52,,,,4.34,,4.26,optimal,
171,Smitham Group,Business-focused leading edge open system,$$$,http://dummyimage.com/162x100.png/5fa2dd/ffffff,2.17,1.88,,8,1.21,1.33,3.21,,3.31,,3.33,4.35,3.4,Re-contextualized,
172,Swift Group,Polarised background success,$$$,http://dummyimage.com/234x100.png/5fa2dd/ffffff,1.79,,1.72,4,,,3.83,spring,3.83,,2.66,,4.36,Synergized,true
173,Sawayn and Sons,Multi-tiered background matrices,$$,http://dummyimage.com/218x100.png/dddddd/000000,1.64,,4.67,2,4.05,4.58,1.71,spring,1.51,,3.11,2.36,,scalable,true
174,Powlowski-Gutkowski,Expanded zero defect middleware,$$,http://dummyimage.com/121x100.png/dddddd/000000,4.93,,,6,2.84,1.07,1.36,winter,,2.79,,,,grid-enabled,false
175,"Kessler, Raynor and Blanda",Persevering solution-oriented array,$,http://dummyimage.com/231x100.png/5fa2dd/ffffff,3.67,3.93,,6,2.99,2.09,1.12,winter,,,1.99,,3.98,implementation,
176,"Becker, Kertzmann and Purdy",Exclusive executive access,$$$,,3.79,3.17,4.55,,,2.3,,,1.22,2.85,3.42,,4.18,knowledge base,
177,"Kunze, Terry and Jacobi",Virtual holistic intranet,free,,3.16,,4.39,4,2.33,,4.12,,,1.16,,,1.17,object-oriented,true
178,"Turner, Wolf and Von",Right-sized object-oriented budgetary management,$$$,http://dummyimage.com/183x100.png/cc0000/ffffff,3.44,4.1,3.42,7,,4.75,,winter,,4.17,2.33,3.81,3.12,fault-tolerant,true
179,Tillman Group,Multi-layered zero administration hub,$$$,http://dummyimage.com/105x100.png/5fa2dd/ffffff,1.19,,3.25,0,3.44,3.17,1.22,,,4.07,,,,forecast,true
180,Carter-Lang,Enterprise-wide static frame,$$,http://dummyimage.com/136x100.png/5fa2dd/ffffff,1.83,4.05,2.64,,,4.39,,,,1.5,3.28,,,Profit-focused,false
181,Powlowski-Borer,Extended responsive adapter,$,http://dummyimage.com/204x100.png/ff4444/ffffff,3.97,4.32,,4,4.41,1.83,2.5,,4.87,3.46,,,3.33,Decentralized,false
182,"Little, Langosh and Green",Implemented holistic array,$$$,http://dummyimage.com/133x100.png/cc0000/ffffff,1.24,4.65,,4,,4.91,3.12,spring,4.79,,4.09,,1.09,fault-tolerant,false
183,"Anderson, Moen and Kling",Networked stable moderator,,http://dummyimage.com/108x100.png/dddddd/000000,3.5,,3.66,6,2.89,3.87,,spring,1.06,,4.22,,4.87,,
184,Kassulke-Hegmann,Proactive exuding help-desk,$$,http://dummyimage.com/230x100.png/dddddd/000000,4.06,,2.2,2,4.68,3.93,3.41,,4.53,1.62,,,3.98,,true
185,"Schiller, Pouros and Steuber",Visionary logistical functionalities,$$,,1.15,,4.88,4,,1.83,,summer,,1.93,,1.12,1.81,Switchable,false
186,"Bailey, Rippin and Ullrich",Reduced web-enabled migration,$,http://dummyimage.com/118x100.png/dddddd/000000,4.25,,,,,1.38,2.27,spring,,3.74,,3.01,,,true
187,Hane Group,Pre-emptive explicit alliance,$$$,http://dummyimage.com/242x100.png/cc0000/ffffff,1.74,,4.48,7,1.09,,1.22,fall,1.82,3.19,,,,homogeneous,
188,Satterfield-Dickinson,Open-source multi-state solution,free,,2.72,3.3,,5,2.24,2.61,,,,,,,2.24,instruction set,
189,Hilll-Jerde,Ameliorated high-level task-force,$,,3.05,2.29,2.19,6,,1.17,2.6,,,,3.74,3.31,3.02,Secured,true
190,Abbott-McDermott,Multi-tiered modular instruction set,$,http://dummyimage.com/203x100.png/ff4444/ffffff,2.4,1.16,,,4.71,2.59,,,1.28,2.94,1.65,4.21,2.33,fresh-thinking,true
191,Boehm Inc,Total radical solution,$$,http://dummyimage.com/235x100.png/ff4444/ffffff,4.46,,,,2.64,1.48,3.51,summer,3.05,3.83,2.28,4.37,2.22,solution,false
192,O'Connell-Mayer,Front-line leading edge customer loyalty,$$$,http://dummyimage.com/234x100.png/5fa2dd/ffffff,3.04,,,2,3.13,2.1,4.35,spring,1.84,,,4.12,3.44,Graphic Interface,
193,Nolan-Orn,Up-sized stable infrastructure,$$,http://dummyimage.com/144x100.png/5fa2dd/ffffff,1.18,,,5,3.02,2.55,2.33,spring,,2.68,,4.97,1.79,Stand-alone,
194,"Gutmann, Feil and Ritchie",Triple-buffered composite capability,$,http://dummyimage.com/226x100.png/ff4444/ffffff,1.28,1.76,,4,2.29,1.29,1.22,spring,1.39,,4.16,3.3,2.8,Optimized,true
195,Gorczany-Bogisich,Robust optimizing core,free,http://dummyimage.com/247x100.png/ff4444/ffffff,4.48,4.75,,4,,,,winter,3.39,4.99,2.1,3.74,,Right-sized,
196,Klein Group,Proactive didactic policy,,http://dummyimage.com/160x100.png/5fa2dd/ffffff,4.51,,3.17,1,4.45,,,summer,4.34,,1.65,4.06,3.21,,
197,Hahn-Borer,User-centric client-driven complexity,$$$,http://dummyimage.com/111x100.png/5fa2dd/ffffff,1.8,1.78,4.55,,2.64,2.65,,,,3.14,3.91,4.86,,extranet,false
198,Kuhn Inc,Persevering intermediate methodology,$$,http://dummyimage.com/228x100.png/dddddd/000000,1.63,4.48,,,,2.51,,spring,4.37,,,,2.47,bi-directional,
199,Russel-Buckridge,Cross-group zero tolerance collaboration,$,http://dummyimage.com/224x100.png/5fa2dd/ffffff,1.23,,,2,4.85,,4.23,fall,4.6,,,,,policy,false
200,"Green, Miller and Blick",Compatible full-range middleware,$$,http://dummyimage.com/198x100.png/ff4444/ffffff,1.12,1.78,,4,4.7,2.78,3.03,,,1.91,,,3.29,,true
201,Crona-Zboncak,Adaptive foreground website,free,,3.11,,3.52,4,,4.1,2.16,,1.16,,4.34,2.2,,help-desk,false
202,Bergnaum-Kuhn,Open-source grid-enabled portal,$,,4.5,,,4,3.64,3.75,,,,,4.39,,,Stand-alone,false
203,"Ledner, Schuster and Schaefer",Profound multi-state productivity,free,http://dummyimage.com/203x100.png/ff4444/ffffff,3.52,,,4,,,,fall,,,,,,,false
204,Kunze Group,Multi-tiered national paradigm,$,http://dummyimage.com/204x100.png/ff4444/ffffff,4.61,4.59,,6,1.44,4.93,,winter,3.62,,,3.07,,hub,true
205,"Bartoletti, Bayer and Pfeffer",Automated real-time pricing structure,free,,3.92,3.01,2.57,,4.51,2.12,2.27,summer,,2.27,,,,frame,true
206,Durgan-Boehm,Secured 4th generation process improvement,$$$,http://dummyimage.com/194x100.png/cc0000/ffffff,3.13,2.0,1.31,6,3.81,2.31,4.18,fall,,,4.41,2.59,,needs-based,
207,Waters-Kozey,Inverse 3rd generation solution,$$,http://dummyimage.com/226x100.png/5fa2dd/ffffff,2.99,3.58,,,,3.44,1.11,,,,,2.81,,,false
208,"Kuhn, Borer and Johnson",Multi-tiered maximized access,$,http://dummyimage.com/179x100.png/ff4444/ffffff,3.02,1.24,1.54,7,2.32,3.53,1.67,spring,,,3.08,,2.66,maximized,true
209,Aufderhar LLC,Focused solution-oriented customer loyalty,$$,http://dummyimage.com/148x100.png/cc0000/ffffff,4.87,,3.32,4,3.0,2.9,1.49,spring,,,2.53,2.06,,User-friendly,false
210,"Haag, Goldner and Rippin",Optional client-server budgetary management,$,,4.81,3.98,,2,1.38,1.36,3.14,spring,,,4.39,2.36,1.17,archive,false
211,Connelly-Krajcik,Virtual multimedia challenge,free,,2.31,1.01,,1,4.45,,1.14,fall,2.96,1.61,,3.89,,,
212,Reilly LLC,Quality-focused grid-enabled capability,$,http://dummyimage.com/196x100.png/ff4444/ffffff,4.06,2.3,1.5,,4.43,2.94,2.4,winter,4.58,2.3,2.4,1.19,3.41,moratorium,
213,McKenzie-Bins,Decentralized explicit success,$$,http://dummyimage.com/219x100.png/ff4444/ffffff,3.05,2.99,,3,1.26,4.65,2.87,winter,4.9,2.23,,,3.46,challenge,true
214,McCullough-Swift,Pre-emptive interactive success,free,,1.67,2.73,3.51,6,3.78,,2.85,spring,,,,,,Seamless,
215,"West, Rolfson and Tromp",Proactive empowering productivity,free,,4.52,2.89,,,2.74,1.49,,summer,,,3.16,1.03,3.47,scalable,
216,Wilkinson Group,Profit-focused clear-thinking infrastructure,free,http://dummyimage.com/215x100.png/5fa2dd/ffffff,3.71,,1.83,3,,2.32,,,4.48,3.88,,,,help-desk,true
217,Robel Inc,Pre-emptive analyzing application,$$,,3.58,2.01,,5,4.74,,3.73,winter,1.36,2.16,,,,Profit-focused,false
218,"Ankunding, Krajcik and Kovacek",Virtual interactive customer loyalty,$$,,3.43,1.03,3.09,7,,,1.33,fall,,4.52,1.81,4.38,,info-mediaries,true
219,Ernser-Bruen,Open-source user-facing knowledge base,$,http://dummyimage.com/227x100.png/5fa2dd/ffffff,4.76,,1.01,2,1.32,3.63,,,,1.79,,,,holistic,true
220,"Kilback, Oberbrunner and Kohler",Optimized dynamic structure,free,,4.02,1.24,2.97,,2.74,2.45,3.62,winter,,,1.71,4.8,,Synergized,false
221,"Hayes, Funk and Frami",Object-based systemic open system,free,http://dummyimage.com/152x100.png/5fa2dd/ffffff,4.82,,2.31,6,,3.53,4.39,fall,2.31,1.3,,,4.49,Synergistic,
222,Kautzer-Breitenberg,Stand-alone optimizing flexibility,free,http://dummyimage.com/228x100.png/5fa2dd/ffffff,3.63,,,6,2.54,2.79,4.8,spring,,,4.36,,,Operative,
223,"Lind, Schmitt and Hills",User-centric bandwidth-monitored portal,$$$,http://dummyimage.com/225x100.png/5fa2dd/ffffff,3.62,,,4,4.8,1.67,,,,3.86,,,1.71,Streamlined,
224,Weissnat-Pollich,Grass-roots methodical database,free,http://dummyimage.com/196x100.png/ff4444/ffffff,1.09,,2.73,8,4.91,2.9,4.95,summer,2.19,,3.53,,3.68,bifurcated,false
225,"Dicki, Swift and Morissette",Re-contextualized solution-oriented algorithm,$$,http://dummyimage.com/188x100.png/5fa2dd/ffffff,4.22,4.98,,,3.9,2.04,2.94,,4.34,,,,,Triple-buffered,false
226,Kuhn and Sons,Multi-channelled optimizing moratorium,$,http://dummyimage.com/250x100.png/dddddd/000000,3.26,1.02,4.11,,3.22,,1.49,summer,,,,,,migration,true
227,Wyman and Sons,Configurable heuristic core,free,http://dummyimage.com/172x100.png/dddddd/000000,2.51,2.78,,5,3.59,2.19,2.37,,,,,,,,
228,Lowe-Monahan,Phased executive customer loyalty,free,http://dummyimage.com/249x100.png/cc0000/ffffff,2.42,2.33,,,2.0,,,summer,,3.85,1.7,4.12,,Decentralized,true
229,"Wisozk, Treutel and Feest",Streamlined bifurcated monitoring,$,http://dummyimage.com/104x100.png/5fa2dd/ffffff,1.03,2.77,,,3.96,,,winter,,3.29,,,,Compatible,
230,Adams and Sons,Enterprise-wide user-facing framework,$$,http://dummyimage.com/202x100.png/cc0000/ffffff,2.49,1.01,3.89,5,,1.35,1.62,winter,3.41,4.74,1.17,,4.81,,
231,McKenzie-Gerlach,Phased coherent benchmark,$,http://dummyimage.com/140x100.png/dddddd/000000,1.77,2.71,,6,2.77,1.02,1.63,summer,1.28,1.16,,2.95,,migration,
232,Bailey Inc,Automated optimizing paradigm,$$$,http://dummyimage.com/138x100.png/dddddd/000000,2.59,,2.71,5,,1.55,4.36,fall,,2.65,,1.79,,methodical,false
233,Lynch LLC,Exclusive intermediate algorithm,free,http://dummyimage.com/141x100.png/dddddd/000000,4.54,,,3,,3.39,1.31,,4.69,2.19,2.18,,2.28,Automated,false
234,Osinski-Wunsch,Adaptive disintermediate algorithm,$,http://dummyimage.com/236x100.png/ff4444/ffffff,4.15,4.02,4.79,2,1.66,4.11,4.88,spring,,,,,,,false
235,Aufderhar-O'Reilly,Persevering leading edge migration,$$$,http://dummyimage.com/120x100.png/dddddd/000000,,,3.54,6,1.11,3.86,,summer,2.41,,,3.34,,encoding,false
236,Schroeder-Turner,Down-sized analyzing product,$,http://dummyimage.com/179x100.png/dddddd/000000,,,,,,,3.55,fall,,,,3.05,,,
237,"O'Reilly, Weimann and Monahan",Down-sized 5th generation hierarchy,$$,,4.98,3.13,4.87,4,3.39,,4.36,spring,,,,,3.8,Multi-lateral,
238,Watsica-Harvey,Polarised uniform Graphic Interface,free,http://dummyimage.com/189x100.png/ff4444/ffffff,2.53,1.98,1.41,5,4.2,1.6,3.32,spring,4.4,2.74,2.97,2.67,1.75,real-time,true
239,Abbott-Ziemann,Visionary tertiary monitoring,,http://dummyimage.com/194x100.png/5fa2dd/ffffff,2.8,2.29,,,4.19,,4.26,fall,,2.67,,,,real-time,false
240,Nolan-Walsh,Synergized systematic methodology,free,http://dummyimage.com/104x100.png/ff4444/ffffff,3.86,2.81,4.27,6,1.18,4.27,,summer,4.71,,,2.07,,success,
241,Yost-Kub,Polarised intangible utilisation,$$$,http://dummyimage.com/164x100.png/5fa2dd/ffffff,4.81,2.24,,2,2.73,1.74,4.75,fall,,,2.08,,,migration,
242,Kirlin-Borer,Optional zero tolerance infrastructure,$$,http://dummyimage.com/203x100.png/5fa2dd/ffffff,3.2,,2.02,5,4.52,2.86,,spring,,4.58,3.61,,,tangible,false
243,Daugherty and Sons,Reactive executive projection,$$$,,4.42,4.73,,,,1.39,3.86,summer,1.65,3.19,1.85,4.47,2.72,knowledge base,
244,Smith Group,Innovative eco-centric info-mediaries,$$,,,,3.72,3,1.83,3.84,,,2.25,,,,4.35,synergy,true
245,Langworth and Sons,Focused neutral hub,,http://dummyimage.com/244x100.png/cc0000/ffffff,1.33,,,5,3.71,3.95,,winter,3.16,,,2.17,,,true
246,Kihn Group,Robust tangible budgetary management,,http://dummyimage.com/228x100.png/5fa2dd/ffffff,1.14,,,2,,,,,2.29,,3.54,,3.27,,true
247,"Strosin, Sauer and Schaefer",Managed 24 hour synergy,$,http://dummyimage.com/194x100.png/cc0000/ffffff,2.71,,4.26,3,,2.72,,,,,3.02,4.4,,analyzer,true
248,"Beahan, Sauer and Frami",Intuitive user-facing definition,$$,http://dummyimage.com/153x100.png/5fa2dd/ffffff,4.44,,,4,3.59,1.32,2.81,fall,,,,,1.82,flexibility,false
249,Koch LLC,Robust foreground matrix,free,,1.7,,,4,,,1.45,,2.86,,,,4.29,budgetary management,false
250,Bogan-Little,Multi-layered optimizing portal,free,,2.49,,,,1.39,2.06,,spring,,,,2.05,,projection,true
251,Boyle and Sons,Versatile reciprocal intranet,$$,,4.78,,,5,4.13,3.57,4.46,,,2.5,2.96,,,Down-sized,true
252,Lehner-Ward,Realigned solution-oriented structure,free,http://dummyimage.com/113x100.png/5fa2dd/ffffff,2.17,4.62,3.4,2,1.04,1.6,,spring,1.45,2.53,4.32,,,reciprocal,
253,Upton and Sons,Reduced 3rd generation knowledge base,free,,3.39,4.97,3.65,4,1.54,,3.71,,,1.76,,4.41,4.43,Re-contextualized,
254,Stroman LLC,Focused grid-enabled definition,$,http://dummyimage.com/175x100.png/dddddd/000000,4.73,,1.95,4,,,2.7,,,,,2.42,,content-based,false
255,Hilll Group,Open-source foreground capability,$$,http://dummyimage.com/183x100.png/dddddd/000000,4.18,4.92,,,2.89,,3.18,winter,2.05,4.56,3.14,,2.28,,true
256,Mosciski LLC,Visionary encompassing focus group,free,http://dummyimage.com/178x100.png/ff4444/ffffff,4.06,,,2,3.6,,4.09,,,1.48,4.53,4.74,,reciprocal,
257,"Botsford, Satterfield and Breitenberg",Implemented regional service-desk,free,http://dummyimage.com/243x100.png/ff4444/ffffff,3.05,,3.99,4,3.23,1.01,4.5,fall,,,2.09,1.17,2.22,background,false
258,"Fay, Doyle and Kreiger",Synchronised upward-trending instruction set,free,http://dummyimage.com/158x100.png/dddddd/000000,1.98,,,5,,2.98,,fall,3.24,1.47,,3.35,,strategy,
259,Parisian Group,Persevering multimedia budgetary management,,http://dummyimage.com/231x100.png/ff4444/ffffff,4.52,,,,,,4.99,summer,2.29,,,4.84,3.25,implementation,
260,Nicolas-Keebler,Seamless exuding framework,$,http://dummyimage.com/100x100.png/cc0000/ffffff,3.47,3.76,,4,1.77,4.45,,,1.87,,1.01,,4.53,bottom-line,
261,Crooks-Pfannerstill,Down-sized systemic concept,$$$,http://dummyimage.com/162x100.png/5fa2dd/ffffff,4.6,,,2,3.09,,2.86,winter,4.4,,1.56,2.48,,Function-based,true
262,Dickens-Keeling,Quality-focused clear-thinking workforce,$$,http://dummyimage.com/167x100.png/5fa2dd/ffffff,2.48,1.21,4.57,5,1.82,,,,4.87,3.12,,3.22,3.27,6th generation,
263,Brakus and Sons,Profound cohesive collaboration,$$$,http://dummyimage.com/110x100.png/cc0000/ffffff,3.74,,,5,,,3.41,,4.75,,2.1,3.28,4.53,artificial intelligence,
264,Lemke-Nicolas,User-centric coherent hierarchy,$$,,4.55,,,2,,,1.22,fall,3.13,,3.59,,2.46,stable,false
265,Lakin Group,Face to face grid-enabled data-warehouse,$,,1.53,3.07,1.68,,1.98,2.63,,,1.06,,4.68,,,Multi-lateral,false
266,Bins LLC,Synergistic uniform product,$$$,http://dummyimage.com/245x100.png/cc0000/ffffff,2.28,,2.99,,1.43,1.48,3.53,spring,,2.13,,,2.44,radical,false
267,Lueilwitz Inc,Multi-layered regional analyzer,$$,http://dummyimage.com/213x100.png/dddddd/000000,2.99,,1.92,0,2.25,4.62,,spring,,,3.0,,,,
268,Swift and Sons,Streamlined needs-based adapter,$,,2.02,3.05,2.36,3,3.37,4.81,3.83,,3.98,3.62,4.57,,,Fundamental,true
269,Stoltenberg and Sons,Re-engineered disintermediate encryption,$$,http://dummyimage.com/173x100.png/5fa2dd/ffffff,2.93,,,5,2.53,2.31,1.3,fall,4.2,3.5,3.2,3.59,,system engine,true
270,Stamm-Gerhold,Persistent non-volatile service-desk,$$,http://dummyimage.com/220x100.png/5fa2dd/ffffff,4.95,4.95,,7,,3.03,2.07,fall,2.36,2.87,3.81,3.08,4.64,service-desk,
271,Cruickshank and Sons,Profound didactic database,$$,http://dummyimage.com/218x100.png/dddddd/000000,3.99,1.62,,4,,2.91,3.71,summer,,,,,3.16,,
272,Schroeder-Dach,Organized discrete implementation,$,http://dummyimage.com/193x100.png/dddddd/000000,2.06,,,,2.98,,,winter,3.66,,2.6,,3.5,paradigm,true
273,"Heidenreich, Lemke and Koch",Universal local attitude,,http://dummyimage.com/210x100.png/dddddd/000000,3.48,,,7,,,3.26,summer,,,,3.85,,,
274,Dicki LLC,Upgradable responsive contingency,$$,http://dummyimage.com/108x100.png/dddddd/000000,4.7,2.66,,5,1.09,2.64,,summer,,,1.41,2.65,2.66,Devolved,
275,Wuckert-Dooley,Advanced 4th generation productivity,$$$,http://dummyimage.com/240x100.png/dddddd/000000,2.81,4.81,3.76,2,2.86,4.82,1.49,,2.5,4.24,1.35,,3.72,pricing structure,
276,Corwin-Beahan,Customer-focused maximized neural-net,$$,http://dummyimage.com/210x100.png/5fa2dd/ffffff,2.21,4.33,,,2.52,3.96,,summer,4.56,,,,,Re-engineered,
277,Bartell Group,Optimized dedicated internet solution,,http://dummyimage.com/224x100.png/dddddd/000000,2.14,,3.17,5,4.44,4.47,1.22,fall,,1.56,,2.39,1.83,,false
278,Marquardt and Sons,Phased logistical encryption,$,,,,3.57,4,4.17,,,fall,4.74,,,2.37,,Business-focused,true
279,"Heathcote, Stiedemann and Hane",Synergized exuding middleware,$$,http://dummyimage.com/227x100.png/dddddd/000000,1.49,1.51,,,3.55,4.57,1.96,spring,4.3,,,3.38,4.05,De-engineered,
280,Cartwright Group,Streamlined responsive support,free,http://dummyimage.com/119x100.png/5fa2dd/ffffff,2.8,4.43,,,2.14,,4.92,,3.13,4.23,,3.14,2.27,secondary,
281,"Fritsch, Jacobi and Kling",Function-based eco-centric instruction set,$$,,1.65,,4.17,,3.82,3.5,3.8,fall,,5.0,,,,,
282,Kautzer-Kautzer,Triple-buffered clear-thinking installation,$$,http://dummyimage.com/140x100.png/dddddd/000000,3.92,2.94,4.94,5,3.94,,3.39,,2.05,,4.95,,,Monitored,
283,"Mosciski, Koch and Ryan",Operative real-time implementation,$,http://dummyimage.com/176x100.png/cc0000/ffffff,,,,3,3.37,4.6,3.18,winter,2.5,3.14,,2.86,1.11,,true
284,"Terry, Pollich and Murphy",Optional directional definition,$,,1.33,4.69,,3,,,4.79,,4.53,,4.06,4.16,1.83,Configurable,false
285,O'Hara LLC,Profound multi-state internet solution,$$$,http://dummyimage.com/118x100.png/ff4444/ffffff,4.55,1.27,1.17,3,,4.34,,fall,,,3.66,4.01,3.08,contingency,true
286,Moen Group,Configurable content-based implementation,$,http://dummyimage.com/161x100.png/5fa2dd/ffffff,4.44,3.07,,,1.62,,2.13,spring,3.83,3.69,,3.38,,infrastructure,false
287,Quitzon-Waters,Open-architected multimedia matrix,$$$,http://dummyimage.com/147x100.png/5fa2dd/ffffff,4.31,,3.23,1,3.17,1.1,1.22,,2.84,,,4.53,,array,
288,McDermott Group,Expanded systemic function,$,,1.75,,4.25,3,,3.18,2.46,spring,,,1.54,,,website,
289,"Runte, Jast and Schimmel",Assimilated analyzing artificial intelligence,$,http://dummyimage.com/210x100.png/dddddd/000000,1.26,4.83,,,4.77,,,winter,1.87,,,4.17,,,
290,"Conroy, Stanton and Macejkovic",Integrated fresh-thinking monitoring,$$$,http://dummyimage.com/215x100.png/5fa2dd/ffffff,3.99,4.3,2.86,,2.62,,2.64,spring,4.55,,,,,human-resource,
291,Spencer Group,Synergized intermediate initiative,$$$,,2.4,1.24,,3,3.46,,4.34,,,,2.88,,,real-time,
292,Sawayn-Braun,Multi-channelled bandwidth-monitored success,$$,http://dummyimage.com/150x100.png/cc0000/ffffff,1.23,4.28,2.59,7,,4.67,1.27,winter,2.56,,,2.4,,,false
293,Koch and Sons,Distributed heuristic methodology,$,http://dummyimage.com/227x100.png/cc0000/ffffff,1.86,,1.32,3,,2.07,4.33,summer,,3.89,1.6,,,flexibility,
294,Goldner-Brown,Synchronised client-server contingency,free,http://dummyimage.com/124x100.png/dddddd/000000,2.97,,1.38,,4.13,4.79,4.65,summer,4.71,,,,3.9,24 hour,
295,Botsford-Thompson,Face to face exuding Graphic Interface,$$,http://dummyimage.com/133x100.png/dddddd/000000,4.28,3.38,4.45,,,,1.65,,,,4.62,1.43,,approach,true
296,Wilkinson and Sons,Inverse contextually-based knowledge base,$$$,http://dummyimage.com/162x100.png/5fa2dd/ffffff,4.07,2.52,1.24,5,4.67,,,winter,4.24,4.06,,2.99,1.84,approach,false
297,Stamm-Stoltenberg,Front-line global contingency,free,http://dummyimage.com/139x100.png/5fa2dd/ffffff,2.57,,3.79,5,2.03,,4.51,,,,,,,focus group,
298,Blick-Williamson,Configurable human-resource encoding,free,,4.42,3.9,2.12,4,3.72,3.27,,,,4.95,,1.31,,productivity,
299,"Stanton, Green and Batz",Streamlined zero administration support,,http://dummyimage.com/113x100.png/ff4444/ffffff,2.75,,2.89,,2.95,2.17,2.28,spring,,,,3.42,,alliance,true
300,"Muller, Pfeffer and Franecki",Progressive neutral matrix,free,http://dummyimage.com/122x100.png/ff4444/ffffff,1.89,,,,1.81,,1.72,fall,1.78,3.41,,,3.56,framework,
